Date/Time,HVAC [kW](Hourly),Electrical appliances [kW](Hourly),Hourly Total Load Consumption,PV Generation Trabzon [kW],PV Generation Antalya [kW]
 11/04  03:00:00,0.049670055,0.066709403,0.116379458,0,0
 11/04  04:00:00,0.057791981,0.058227425,0.116019406,0,0
 11/04  05:00:00,0.061610946,0.069948156,0.131559102,0,0
 11/04  06:00:00,0.064783939,0.084144476,0.148928416,0,0.036118596
 11/04  07:00:00,0.074213968,0.144379125,0.218593093,0.076927554,0.322736226
 11/04  08:00:00,0.057448376,0.232499704,0.28994808,0.319506336,0.896898324
 11/04  09:00:00,0.051566106,0.305100596,0.356666702,0.611263704,1.36764777
 11/04  10:00:00,0.054540194,0.379068143,0.433608337,0.865301574,1.659545568
 11/04  11:00:00,0.067938303,0.399725262,0.467663566,1.023538098,1.723750164
 11/04  12:00:00,0.0377067,0.417422741,0.45512944,1.1725905,1.677492522
 11/04  13:00:00,0.02923226,0.40358372,0.43281598,0.955036344,1.377674472
 11/04  14:00:00,0.017978919,0.365540376,0.383519295,0.752367768,0.992531154
 11/04  15:00:00,0.022546542,0.33584236,0.358388902,0.425137782,0.559866324
 11/04  16:00:00,0.024903717,0.343849828,0.368753545,0.129027084,0.124308636
 11/04  17:00:00,0.027031058,0.39324111,0.420272167,0,0
 11/04  18:00:00,0.05143541,0.483552459,0.534987869,0,0
 11/04  19:00:00,0.031232598,0.436445739,0.467678337,0,0
 11/04  20:00:00,0.032071631,0.354222199,0.38629383,0,0
 11/04  21:00:00,0.038590024,0.315609714,0.354199738,0,0
 11/04  22:00:00,0.046707982,0.298905481,0.345613463,0,0
 11/04  23:00:00,0.056802582,0.239053022,0.295855604,0,0
 11/04  24:00:00,0.067253209,0.156085771,0.22333898,0,0
 11/05  01:00:00,0.077371333,0.097466295,0.174837628,0,0
 11/05  02:00:00,0.084497394,0.080608754,0.165106148,0,0
 11/05  03:00:00,0.089434308,0.066709403,0.156143711,0,0
 11/05  04:00:00,0.092632186,0.058227425,0.150859611,0,0
 11/05  05:00:00,0.094718852,0.069948156,0.164667008,0,0
